Day,Week,Date,Module,Module Text,Topics,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day1,Week1,10-02-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R & Python Introduction,,,,,,,,,,,,,
Day2,Week1,16-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,Dr. Anand Jayaraman,10.08,Dr. Surya Kompalli,6.72,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,3.2,Dr. Manoj Duse,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 2.1}"
Day3,Week2,17-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,Dr. Anand Jayaraman,10.08,Dr. Surya Kompalli,6.72,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,3.2,Dr. Sreerama Murthy,2.1,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 2.1}"
Day4,Week2,23-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Surya Kompalli,6.72,Dr. Praphul Chandra,3.2,Dr. Manoj Duse,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Anand Narasimhamurthy': 3.2}"
Day5,Week3,24-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Praphul Chandra,3.2,Dr. Rohit Lotlikar,1.6,,,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Anand Jayaraman': 10.080000000000002}"
Day6,Week3,02-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Anand Narasimhamurthy': 3.2}"
Day7,Week4,03-03-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R Preprocessing,,,,,,,,,,,,,
Day8,Week4,09-03-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,Python Preprocessing,,,,,,,,,,,,,
Day9,Week5,10-03-2019,CUTe,CSE 7212c,,,,,,,,,,,,,,
Day10,Week5,16-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,"Introduction to Supervised Methods, Linear Regression",Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,3.2,['Linear Regression'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Manoj Duse': 3.2, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 4.2, 'Dr. Anand Narasimhamurthy': 3.2}"
